Name,Facility_type,Facility,type,,State,County,Active,In study,,,
Current,Facility,,,,,,,,,,
Status,,,,,,,,,,,
Included,in,log-processing,,,,,,,,,
capacity,analysis,,,,,,,,,,
Rustic,Log,Furniture,Log,furniture,CO,Alamosa,Active,Yes,,,
Forest,Health,Timber,Products,Sawmill,CO,Archuleta,Active,No,,,
Loblolly,Lumber,-,Pagosa,Sawmill,CO,Archuleta,Active,Yes,,,
Loblolly,Logging,and,Lumber,-,Arboles,Sawmill,CO,Archuleta,Active,Yes,
Stateline,Firewood,&,Logging,Sawmill,CO,Archuleta,Active,No,,,
Quality,Timber,&,Wood,Products,Sawmill,CO,Conejos,Active,No,,
Allpine,Lumber,Co.,Sawmill,CO,Conejos,Active,Yes,,,,
Blanca,Forestry,Products,Sawmill,CO,Costilla,Active,Yes,,,,
San,Juan,Structures,Log,home,CO,La,Plata,Active,Yes,,
Mule,Skinner,Log,Works,Log,home,CO,La,Plata,Active,Yes,
Eric,Husted,Sawmill,CO,La,Plata,Active,Yes,,,,
Wildcat,Services,Sawmill,CO,La,Plata,Active,No,,,,
Timber,Age,Systems,Sawmill,&,CLT,CO,La,Plata,Active,No,
Blue,Ridge,Log,Works,Log,furniture,CO,Larimer,Active,Yes,,
Morgan,Timber,Products,-,Post,and,Pole,Post/pole/piling,CO,Larimer,Active,Yes
Morgan,Timber,Products,Sawmill,CO,Larimer,Active,Yes,,,,
Elkhorn,Lumber,Company,Sawmill,CO,Larimer,Active,Yes,,,,
Aspen,Wood,Products,Other,primary,manufacturer,CO,Montezuma,Active,Yes,,
Ironwood,Group,LLC,Plywood,CO,Montezuma,Active,Yes,,,,
West,Fork,Lumber,Sawmill,CO,Montezuma,Inactive,Yes,,,,
Ott's,Mill,Sawmill,CO,Montezuma,Active,Yes,,,,,
Aspen,Wall,Wood,Sawmill,CO,Montezuma,Active,Yes,,,,
Stonertop,Lumber,Sawmill,CO,Montezuma,Active,Yes,,,,,
Custom,Log,Crafting,Log,home,CO,Montrose,Inactive,Yes,,,
Frontier,Log,Homes,Log,home,CO,Montrose,Active,Yes,,,
Montrose,Forest,"Products,",LLC.,Sawmill,CO,Montrose,Active,Yes,,,
TJ's,Wood,Products,Log,home,CO,Park,Active,Yes,,,
Alan,Eos,Mountain,Lumber,Sawmill,CO,Park,Active,Yes,,,
Rocky,Mountain,Timber,Products,Sawmill,CO,Rio,Grande,Active,Yes,,
Mountain,Valley,Lumber,-,House,logs,Log,home,CO,Saguache,Active,Yes
Mountain,Valley,Lumber,-,Sawmill,Sawmill,CO,Saguache,Active,Yes,,
Silver,Dollar,Wood,Products,LLC,Bark,products,NM,Colfax,Active,No,
Western,Wood,Products,(pellets),Fuel,pellets,NM,Colfax,Active,No,,
Western,Wood,Products,(posts),Post/pole/piling,NM,Colfax,Active,Yes,,,
Western,Wood,Products,Sawmill,NM,Colfax,Active,Yes,,,,
Mammoth,Mill,&,Construction,Sawmill,NM,Colfax,Active,Yes,,,
Satterwhite,Log,Homes,Log,Home,NM,Rio,Arriba,Active,Yes,,
Padilla,Logging,Restoration,Firewood,NM,Rio,Arriba,Active,No,,,
W.,H.,Moore,Cash,Lumber,Sawmill,NM,Rio,Arriba,Active,Yes,
Barela,Timber,Mgmt,Co.,-,sawmill,Sawmill,NM,San,Miguel,Active,Yes
TMR,Custom,Sawmill,Sawmill,NM,San,Miguel,Active,No,,,
Old,Wood,Sawmill,NM,San,Miguel,Active,Yes,,,,
Barela,Timber,Mgmt,"Co.,",Inc.,Viga/latillas,NM,San,Miguel,Active,Yes,
Walatowa,Timber,(Pellets),Fuel,pellets,NM,Sandoval,Active,No,,,
Walatowa,Timber,Industries,Sawmill,NM,Sandoval,Active,Yes,,,,
Wholesale,Timber,and,Vigas,-,Sawmill,Sawmill,NM,Sandoval,Active,Yes,
Wholesale,Timber,and,Vigas,-,Vigas/latillas,Viga/latillas,NM,Sandoval,Active,Yes,
Firewood,Company,of,Santa,Fe,Firewood,NM,Santa,Fe,Active,Y,
